"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8745399563","B","II I V","FPR","IBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8757281615","B","II I V","GPR","JBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8769163667","B","II I V","HPR","KBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8781045719","B","II I V","IPR","LBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8792927771","B","II I V","JPR","MBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8804809823","B","II I V","KPR","NBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8816691875","B","II I V","LPR","OBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8828573927","B","II I V","MPR","PBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8840455979","B","II I V","NPR","QBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8852338031","B","II I V","OPR","RBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8864220083","B","II I V","PPR","SBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8876102135","B","II I V","QPR","TBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8887984187","B","II I V","RPR","UBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
